track_name,track_artist,track_album_name,track_href,uri
Brindis,"Duki, Headie One",AMERI,https://api.spotify.com/v1/tracks/1Bb422wJR14f7sA77gGs0V,spotify:track:1Bb422wJR14f7sA77gGs0V
Pa Ti,"Bad Bunny, Bryant Myers",Pa Ti,https://api.spotify.com/v1/tracks/2QrGCbW0ylj94JfkgLZFlA,spotify:track:2QrGCbW0ylj94JfkgLZFlA
Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix,"Trap Capos, Noriel, Bad Bunny, Almighty",Amigos y Enemigos (Remix),https://api.spotify.com/v1/tracks/2sA4woGW5KgEgGXXxOKPAZ,spotify:track:2sA4woGW5KgEgGXXxOKPAZ
Tu Me Enamoraste - Remix,"Lary Over, Anuel, Bryant Myers, Almighty, Brytiago",Tu Me Enamoraste (Remix),https://api.spotify.com/v1/tracks/7b6QP0Pz2sqyW7yyXodpm6,spotify:track:7b6QP0Pz2sqyW7yyXodpm6
1993,Matuê,333,https://api.spotify.com/v1/tracks/6QsHhB0W9GtLF3cI7mUVkQ,spotify:track:6QsHhB0W9GtLF3cI7mUVkQ
Going Bad (feat. Drake),"Meek Mill, Drake",Championships,https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc,spotify:track:2IRZnDFmlqMuOrYOLnZZyc
Un Día Más,"Duki, YSY A",AMERI,https://api.spotify.com/v1/tracks/2m3v40xGeLVqnQvAwx5rdi,spotify:track:2m3v40xGeLVqnQvAwx5rdi
CANZONE D'ODIO (feat. Lil Baby),"Lazza, Lil Baby",LOCURA,https://api.spotify.com/v1/tracks/4CNfC20TImtjdwN3dG0uCF,spotify:track:4CNfC20TImtjdwN3dG0uCF
Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",HEROES & VILLAINS,https://api.spotify.com/v1/tracks/0vjeOZ3Ft5jvAi9SBFJm1j,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j
Maturidade,"KayBlack, Wall Hein, AMUSIK",Maturidade,https://api.spotify.com/v1/tracks/5RHOhXxMVhpEaBcG6hIydA,spotify:track:5RHOhXxMVhpEaBcG6hIydA
Problemas de um Milionário,"WIU, Teto",Problemas de um Milionário,https://api.spotify.com/v1/tracks/0VybBobSYSzliyEJ1VqwGR,spotify:track:0VybBobSYSzliyEJ1VqwGR
BOOKER T,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,https://api.spotify.com/v1/tracks/26w9NTiE9NGjW1ZvIOd1So,spotify:track:26w9NTiE9NGjW1ZvIOd1So
Me Ama Me Odia,"Revol, Ozuna, Cosculluela, Arcángel, Brytiago",Me Ama Me Odia,https://api.spotify.com/v1/tracks/6TZXBJLTIOX6DM6hwCsKw2,spotify:track:6TZXBJLTIOX6DM6hwCsKw2
