track_name,track_artist,track_album_name,track_href,uri
Mood (feat. iann dior),"24kGoldn, iann dior",El Dorado,https://api.spotify.com/v1/tracks/4jPy3l0RUwlUI9T5XHBW2m,spotify:track:4jPy3l0RUwlUI9T5XHBW2m
FUNKED UP - SLOWED,"xxanteria, isq",FUNKED UP,https://api.spotify.com/v1/tracks/4VL5XwfATZuAVTW471Wpro,spotify:track:4VL5XwfATZuAVTW471Wpro
Too Sweet,Hozier,Unheard,https://api.spotify.com/v1/tracks/4IadxL6BUymXlh8RCJJu7T,spotify:track:4IadxL6BUymXlh8RCJJu7T
Doja,Central Cee,Doja,https://api.spotify.com/v1/tracks/3LtpKP5abr2qqjunvjlX5i,spotify:track:3LtpKP5abr2qqjunvjlX5i
Somebody (2024),"Gotye, FISHER, Chris Lake, Kimbra, Sante Sansone",Somebody (2024),https://api.spotify.com/v1/tracks/0agQ9vIV7NP4dntGKLcCXO,spotify:track:0agQ9vIV7NP4dntGKLcCXO
Whatever,"Kygo, Ava Max",Whatever,https://api.spotify.com/v1/tracks/0LMwmV37RCmBO2so0szAFs,spotify:track:0LMwmV37RCmBO2so0szAFs
Deep Down (feat. Never Dull),"Alok, Ella Eyre, Kenny Dope, Never Dull",Deep Down (feat. Never Dull),https://api.spotify.com/v1/tracks/7MIhUdNJtaOnDmC5nBC1fb,spotify:track:7MIhUdNJtaOnDmC5nBC1fb
CUTE DEPRESSED,Dyan Dxddy,CUTE DEPRESSED,https://api.spotify.com/v1/tracks/06PqeO7IInus2yvzsZwZhf,spotify:track:06PqeO7IInus2yvzsZwZhf
10:35,"Tiësto, Tate McRae",DRIVE,https://api.spotify.com/v1/tracks/36gcliMRX1vCpgnrZE3dFZ,spotify:track:36gcliMRX1vCpgnrZE3dFZ
TOO COOL TO BE CARELESS,PAWSA,TOO COOL TO BE CARELESS,https://api.spotify.com/v1/tracks/6KqM3xmPIDonsTjCSGrrr5,spotify:track:6KqM3xmPIDonsTjCSGrrr5
Automotivo Bibi Fogosa,"Bibi Babydoll, Dj Brunin XM, KZA Produções",Automotivo Bibi Fogosa,https://api.spotify.com/v1/tracks/2JIzOc3HHo4MhiyZzhpBUV,spotify:track:2JIzOc3HHo4MhiyZzhpBUV
Bones,Imagine Dragons,Bones,https://api.spotify.com/v1/tracks/0HqZX76SFLDz2aW8aiqi7G,spotify:track:0HqZX76SFLDz2aW8aiqi7G
Atmosphere,"FISHER, Kita Alexander",Atmosphere,https://api.spotify.com/v1/tracks/63HwAAXuSV2tzIUPoHOwZa,spotify:track:63HwAAXuSV2tzIUPoHOwZa
