track_name,track_artist,track_album_name,track_popularity,energy,valence,danceability,acousticness,instrumentalness,tempo,track_href,uri,cluster_label
Porno,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",The Academy,70,0.71,0.523,0.535,0.428,0.0,92.009,https://api.spotify.com/v1/tracks/34ZngZgo8xicbt1EE8Ob8Z,spotify:track:34ZngZgo8xicbt1EE8Ob8Z,Balanced / Versatile Mix
Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,93,0.668,0.787,0.924,0.446,0.000594,128.027,https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k,spotify:track:6WatFBLVB0x077xWeoVc2k,Balanced / Versatile Mix
NEL,Fuerza Regida,PERO NO TE ENAMORES,88,0.482,0.356,0.69,0.523,0.0004,100.029,https://api.spotify.com/v1/tracks/5AH31dDNgxCMGDdxubNNn4,spotify:track:5AH31dDNgxCMGDdxubNNn4,Chill & Acoustic
Que Se Cuide,"Luis R Conriquez, Joel De La P, Chimbala",Que Se Cuide,71,0.779,0.95,0.937,0.22,6.85e-05,128.028,https://api.spotify.com/v1/tracks/22jhscHs2DoVqKG5vKJytQ,spotify:track:22jhscHs2DoVqKG5vKJytQ,Feel-Good Hits
Mejores Jordans,"Victor Mendivil, Oscar Maydon",Mejores Jordans,83,0.583,0.271,0.669,0.603,2.54e-06,115.221,https://api.spotify.com/v1/tracks/1cZHUhGz7xJ8c4szDipipd,spotify:track:1cZHUhGz7xJ8c4szDipipd,Chill & Acoustic
APAGA EL CEL,"FloyyMenor, Lewis Somes",EL COMIENZO,76,0.496,0.476,0.696,0.273,0.000397,100.025,https://api.spotify.com/v1/tracks/0ZS96pPRLyGUViVi5PWCAR,spotify:track:0ZS96pPRLyGUViVi5PWCAR,Balanced / Versatile Mix
CLASSY 101,"Feid, Young Miko",FERXXOCALIPSIS,79,0.665,0.659,0.858,0.126,0.0,100.09,https://api.spotify.com/v1/tracks/1hZsWUnLbqRw09jLAMQSsb,spotify:track:1hZsWUnLbqRw09jLAMQSsb,Balanced / Versatile Mix
LUNA,"Feid, ATL Jacob",FERXXOCALIPSIS,88,0.86,0.446,0.774,0.131,0.0,100.019,https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi,spotify:track:7bywjHOc0wSjGGbj04XbVi,Balanced / Versatile Mix
TU TA RICA,"FloyyMenor, Lewis Somes",EL COMIENZO,76,0.507,0.606,0.755,0.293,1.82e-05,99.994,https://api.spotify.com/v1/tracks/27bcRgu0wnDteieWlLCxc8,spotify:track:27bcRgu0wnDteieWlLCxc8,Balanced / Versatile Mix
Parado no Bailão,"MC L da Vinte, MC Gury",Parado no Bailão,73,0.599,0.478,0.828,0.381,0.0,86.533,https://api.spotify.com/v1/tracks/3Hb9kUdm4yf839Fle4RIdT,spotify:track:3Hb9kUdm4yf839Fle4RIdT,Balanced / Versatile Mix
